Rider,FTP (w),Weight (kg),W/KG,Height (m),Points (One day races),Points (GC),Points (Time trial),Points (Sprint),Points (Climber),Date of Birth,Tour de Frances participated in,1998 TDF Total Finish Time (s),1999 TDF Total Finish Time (s),2000 TDF Total Finish Time (s),2001 TDF Total Finish Time (s),2002 TDF Total Finish Time (s),2004 TDF Total Finish Time (s),2006 TDF Total Finish Time (s),2007 TDF Total Finish Time (s),2008 TDF Total Finish Time (s),2009 TDF Total Finish Time (s),2010 TDF Total Finish Time (s),2011 TDF Total Finish Time (s),2012 TDF Total Finish Time (s),2013 TDF Total Finish Time (s),2014 TDF Total Finish Time (s),2015 TDF Total Finish Time (s),2016 TDF Total Finish Time (s),2017 TDF Total Finish Time (s),2018 TDF Total Finish Time (s),2019 TDF Total Finish Time (s),2020 TDF Total Finish Time (s),2021 TDF Total Finish Time (s),2022 TDF Total Finish Time (s),2023 TDF Total Finish Time (s)
Oliver Naesen,400,73,5.48,1.84,3942,1343,49,1252,1981,16-Sep-90,"2023, 2021, 2020, 2019, 2018, 2017, 2016",,,,,,,,,,,,,,,,,332176,319737,308809,306823,326529,308941,,309747
Reinardt Janse van Rensburg,396,77,5.14,1.82,1268,892,458,2015,744,3-Feb-89,"2022, 2019, 2018, 2017, 2016, 2015",,,,,,,,,,,,,,,,317264,334878,323509,312098,312070,,,306285,
Robert Gesink,410,70,5.86,1.9,2888,5157,1196,658,5821,31-May-86,"2020, 2018, 2015, 2013, 2011, 2010",,,,,,,,,,,331699,314251,,305465,,305821,,,304706,,323440,,,
Romain Hardy,332,62,5.36,1.72,1225,797,15,964,1036,24-Aug-88,"2018, 2017",,,,,,,,,,,,,,,,,,315226,311822,,,,,
Sam Welsford,357,80,4.46,1.8,476,180,78,815,25,19-Jan-96,2023,,,,,,,,,,,,,,,,,,,,,,,,316082
Scott Thwaites,390,70,5.57,1.78,780,199,1,688,212,12-Feb-90,2017,,,,,,,,,,,,,,,,,,322643,,,,,,
Sepp Kuss,383,61,6.28,1.82,164,2187,300,42,3181,13-Sep-94,"2023, 2022, 2021, 2020",,,,,,,,,,,,,,,,,,,,,316945,305200,290149,297794
Simon Geschke,360,63,5.71,1.71,1529,1374,660,634,2178,13-Mar-86,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2013, 2009",,,,,,,,,,319443,,,,311062,,312268,330740,319792,302848,306625,324272,308127,296083,
Tadej Pogacar,424,66,6.42,1.76,4063,5194,1837,226,7190,21-Sep-98,"2023, 2022, 2021, 2020",,,,,,,,,,,,,,,,,,,,,314405,298596,286563,295991
Tejay van Garderen,425,72,5.9,1.86,147,5164,3409,414,3974,12-Aug-88,"2020, 2018, 2016, 2014, 2013, 2012, 2011",,,,,,,,,,,,319091,315951,308137,324630,,325014,,304818,,330145,,,
Tim Declercq,400,78,5.13,1.9,725,457,26,420,110,21-Mar-89,"2023, 2021, 2020",,,,,,,,,,,,,,,,,,,,,333297,316665,,313860
Timothy Dupont,363,71,5.11,1.79,3441,196,3,5192,183,1-Nov-87,2018,,,,,,,,,,,,,,,,,,,313709,,,,,
Tobias Ludvigsson,445,75,5.93,1.94,189,898,1938,138,366,22-Feb-91,2018,,,,,,,,,,,,,,,,,,,309773,,,,,
Tom Dumoulin,431,69,6.25,1.85,1147,4380,6256,302,4526,11-Nov-90,"2020, 2018, 2014, 2013",,,,,,,,,,,,,,307870,330426,,,,299944,,314873,,,
Tom van Asbroeck,371,72,5.15,1.82,2721,507,20,3282,571,19-Apr-90,2020,,,,,,,,,,,,,,,,,,,,,330802,,,
Victor Campenaerts,394,69,5.71,1.73,715,886,3060,330,681,28-Oct-91,2023,,,,,,,,,,,,,,,,,,,,,,,,308440
Wout van Aert,460,78,5.9,1.9,6550,1091,2586,1882,4093,15-Sep-94,"2022, 2021, 2020",,,,,,,,,,,,,,,,,,,,,319236,302018,292155,
