Rider,FTP (w),Weight (kg),Power-to-Weight Ratio (w/kg),Height (m),Points (GC),Points (Time Trial),Points (Sprint),Points (Climb),Date of Birth,Tour de Frances participated in,1998 TDF Total Finish Time (s),1999 TDF Total Finish Time (s),2000 TDF Total Finish Time (s),2001 TDF Total Finish Time (s),2002 TDF Total Finish Time (s),2004 TDF Total Finish Time (s),2006 TDF Total Finish Time (s),2007 TDF Total Finish Time (s),2008 TDF Total Finish Time (s),2009 TDF Total Finish Time (s),2010 TDF Total Finish Time (s),2011 TDF Total Finish Time (s),2012 TDF Total Finish Time (s),2013 TDF Total Finish Time (s),2014 TDF Total Finish Time (s),2015 TDF Total Finish Time (s),2016 TDF Total Finish Time (s),2017 TDF Total Finish Time (s),2018 TDF Total Finish Time (s),2019 TDF Total Finish Time (s),2020 TDF Total Finish Time (s),2021 TDF Total Finish Time (s),2022 TDF Total Finish Time (s),2023 TDF Total Finish Time (s),Overall Type Index
Sam Welsford,357,80,4.46,1.8,180,78,815,25,19-Jan-96,2023,,,,,,,,,,,,,,,,,,,,,,,,316082,2.1384335154826957
Scott Thwaites,390,70,5.57,1.78,199,1,688,212,12-Feb-90,2017,,,,,,,,,,,,,,,,,,322643,,,,,,,2.5654545454545454
Sepp Kuss,383,61,6.28,1.82,2187,300,42,3181,13-Sep-94,"2023, 2022, 2021, 2020",,,,,,,,,,,,,,,,,,,,,316945,305200,290149,297794,3.444658493870403
Simon Geschke,360,63,5.71,1.71,1374,660,634,2178,13-Mar-86,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2013, 2009",,,,,,,,,,319443,,,,311062,,312268,330740,319792,302848,306625,324272,308127,296083,,3.046223689640941
Tadej Pogacar,424,66,6.42,1.76,5194,1837,226,7190,21-Sep-98,"2023, 2022, 2021, 2020",,,,,,,,,,,,,,,,,,,,,314405,298596,286563,295991,3.2277289402644147
Tejay van Garderen,425,72,5.9,1.86,5164,3409,414,3974,12-Aug-88,"2020, 2018, 2016, 2014, 2013, 2012, 2011",,,,,,,,,,,,319091,315951,308137,324630,,325014,,304818,,330145,,,,2.7486305069053314
Tim Declercq,400,78,5.13,1.9,457,26,420,110,21-Mar-89,"2023, 2021, 2020",,,,,,,,,,,,,,,,,,,,,333297,316665,,313860,2.642645607107601
Timothy Dupont,363,71,5.11,1.79,196,3,5192,183,1-Nov-87,2018,,,,,,,,,,,,,,,,,,,313709,,,,,,2.1002870470039467
Tobias Ludvigsson,445,75,5.93,1.94,898,1938,138,366,22-Feb-91,2018,,,,,,,,,,,,,,,,,,,309773,,,,,,1.9077844311377246
Tom Dumoulin,431,69,6.25,1.85,4380,6256,302,4526,11-Nov-90,"2020, 2018, 2014, 2013",,,,,,,,,,,,,,307870,330426,,,,299944,,314873,,,,2.464045525090533
Tom van Asbroeck,371,72,5.15,1.82,507,20,3282,571,19-Apr-90,2020,,,,,,,,,,,,,,,,,,,,,330802,,,,2.371917808219178
Victor Campenaerts,394,69,5.71,1.73,886,3060,330,681,28-Oct-91,2023,,,,,,,,,,,,,,,,,,,,,,,,308440,1.8361912447044584
Wout van Aert,460,78,5.9,1.9,1091,2586,1882,4093,15-Sep-94,"2022, 2021, 2020",,,,,,,,,,,,,,,,,,,,,319236,302018,292155,,2.6932242022378783
